time,cuti
2015-12-15T00:00:00Z,0.764
2016-01-15T00:00:00Z,0.188
2016-02-15T00:00:00Z,0.368
2016-03-15T00:00:00Z,0.423
2016-04-15T00:00:00Z,0.733
2016-05-15T00:00:00Z,0.587
2016-06-15T00:00:00Z,0.26
2016-07-15T00:00:00Z,0.279
2016-08-15T00:00:00Z,0.433
2016-09-15T00:00:00Z,0.344
2016-10-15T00:00:00Z,0.408
2016-11-15T00:00:00Z,0.312
2016-12-15T00:00:00Z,0.301
2017-01-15T00:00:00Z,0.151
2017-02-15T00:00:00Z,0.331
2017-03-15T00:00:00Z,0.404
2017-04-15T00:00:00Z,0.648
2017-05-15T00:00:00Z,0.635
2017-06-15T00:00:00Z,0.511
2017-07-15T00:00:00Z,0.247
2017-08-15T00:00:00Z,0.416
2017-09-15T00:00:00Z,0.409
2017-10-15T00:00:00Z,0.274
2017-11-15T00:00:00Z,0.28
2017-12-15T00:00:00Z,0.148
2018-01-15T00:00:00Z,0.355
2018-02-15T00:00:00Z,0.394
2018-03-15T00:00:00Z,0.425
2018-04-15T00:00:00Z,0.714
2018-05-15T00:00:00Z,0.761
2018-06-15T00:00:00Z,0.422
2018-07-15T00:00:00Z,0.236
2018-08-15T00:00:00Z,0.389
2018-09-15T00:00:00Z,0.393
2018-10-15T00:00:00Z,0.134
2018-11-15T00:00:00Z,0.18
2018-12-15T00:00:00Z,0.428
2019-01-15T00:00:00Z,0.133
2019-02-15T00:00:00Z,0.423
2019-03-15T00:00:00Z,0.422
2019-04-15T00:00:00Z,0.45
2019-05-15T00:00:00Z,0.661
2019-06-15T00:00:00Z,0.247
2019-07-15T00:00:00Z,0.443
2019-08-15T00:00:00Z,0.546
2019-09-15T00:00:00Z,0.366
2019-10-15T00:00:00Z,0.218
2019-11-15T00:00:00Z,0.163
2019-12-15T00:00:00Z,0.177
2020-01-15T00:00:00Z,0.249
2020-02-15T00:00:00Z,0.188
2020-03-15T00:00:00Z,0.3
2020-04-15T00:00:00Z,0.341
2020-05-15T00:00:00Z,0.545
2020-06-15T00:00:00Z,0.397
2020-07-15T00:00:00Z,0.459
2020-08-15T00:00:00Z,0.419
2020-09-15T00:00:00Z,0.218
2020-10-15T00:00:00Z,0.152
2020-11-15T00:00:00Z,0.334
2020-12-15T00:00:00Z,0.163
2021-01-15T00:00:00Z,0.281
2021-02-15T00:00:00Z,0.492
2021-03-15T00:00:00Z,0.556
2021-04-15T00:00:00Z,0.54
2021-05-15T00:00:00Z,0.609
2021-06-15T00:00:00Z,0.448
2021-07-15T00:00:00Z,0.357
2021-08-15T00:00:00Z,0.296
2021-09-15T00:00:00Z,0.233
2021-10-15T00:00:00Z,0.348
2021-11-15T00:00:00Z,0.166
2021-12-15T00:00:00Z,0.137
2022-01-15T00:00:00Z,0.071
2022-02-15T00:00:00Z,0.282
2022-03-15T00:00:00Z,0.454
2022-04-15T00:00:00Z,0.71
2022-05-15T00:00:00Z,0.618
2022-06-15T00:00:00Z,0.316
2022-07-15T00:00:00Z,0.469
2022-08-15T00:00:00Z,0.343
2022-09-15T00:00:00Z,0.332
2022-10-15T00:00:00Z,0.196
2022-11-15T00:00:00Z,0.291
2022-12-15T00:00:00Z,0.157
2023-01-15T00:00:00Z,0.129
2023-02-15T00:00:00Z,0.32
2023-03-15T00:00:00Z,0.451
2023-04-15T00:00:00Z,0.746
2023-05-15T00:00:00Z,0.44
2023-06-15T00:00:00Z,0.522
2023-07-15T00:00:00Z,0.353
2023-08-15T00:00:00Z,0.401
2023-09-15T00:00:00Z,0.43
2023-10-15T00:00:00Z,0.498
2023-11-15T00:00:00Z,0.139
2023-12-15T00:00:00Z,0.087
