stock_code,stock_country,stock_region,cyer_stock,stock_jurisdiction,fishery_type_2,age,brood_year,year,ocean_cohort
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1986,1988,1589.845
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1986,1989,887.5716
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1986,1990,333.1618
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1986,1991,28.45626
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1987,1989,665.5059
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1987,1990,380.4575
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1987,1991,121.169
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1987,1992,3.015463
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1988,1990,1779.793
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1988,1991,948.4169
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1988,1992,272.7833
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1988,1993,12.16977
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1989,1991,924.1998
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1989,1992,519.7801
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1989,1993,86.45139
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1989,1994,3.01841
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1990,1992,979.4434
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1990,1993,546.7448
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1990,1994,145.4639
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1990,1995,18.51945
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1991,1993,429.1474
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1991,1994,232.3143
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1991,1995,68.32818
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1991,1996,5.068849
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1992,1994,158.0585
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1992,1995,93.95013
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1992,1996,25.037
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1992,1997,0
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1993,1995,762.1837
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1993,1996,403.8265
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1993,1997,88.59722
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1993,1998,5.159911
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1994,1996,442.1793
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1994,1997,285.6516
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1994,1998,120.3165
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1994,1999,19.06417
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1995,1997,301.7611
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1995,1998,193.5713
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1995,1999,100.0604
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1995,2000,16.41479
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1996,1998,496.9562
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1996,1999,305.2265
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1996,2000,118.8455
