"","stock_code","brood_year","age","Mat.Rate","Marine.Survival","Stock.Country","stock_name","area","ecoregion","RunType","Hatchery","Age","Wild","Code","Code2","calendar_year","season","location","sst_winter","sst_spring","CUTI_winter","CUTI_spring","seasonal_STI","Beuti_winter","Beuti_spring","BI","stand_BI"
"62","BQR",2003,2,0.0487,0.013023663,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2004,"Fall","45N",0.142374942117247,2.0206313556851,0.437741518582095,0.184403865385222,-0.0504046409851522,0.502610629484599,-0.702371455464401,0.488372093,0.111107314295724
"63","BQR",2004,2,0.0102,0.001586482,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2005,"Fall","45N",0.615622831083799,1.75541399574452,0.499491889541952,-0.469821822891095,1.1987538529947,0.346777813855486,-0.963396221362591,0.48372093,0.0828254511483175
"64","BQR",2005,2,0.126,0.00743935,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2006,"Fall","45N",0.426675544508289,0.424370371376029,-0.474399675310645,2.73218088538959,-0.175320490383137,-0.240284395111892,0.841928400260668,0.651162791,1.10097248189073
"65","BQR",2006,2,0.0552,0.007428151,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2007,"Fall","45N",-0.382362889450639,-0.0190633083576659,1.01643070929161,0.0066519802686376,0.157788441344823,0.746702738921353,0.692274201145705,0.386046512,-0.511093644544208
"66","BQR",2007,2,0.0834,0.005321655,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2008,"Fall","45N",-1.59507041725243,-1.59733972230205,0.439505814895234,1.41138562792609,-1.04973143616903,-0.00460449961617966,2.74702248796057,0.562790698,0.56361710641242
"67","BQR",2008,2,0.0467,0.005576299,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2009,"Fall","45N",-1.90613839987886,-0.495042774573303,1.3481184161617,0.154778551199125,-1.25792451849901,1.19999695571153,1.54012131111872,0.739534884,1.63832785736905
"68","BQR",2009,2,0.0977,0.004233204,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2010,"Fall","45N",0.866870512309286,0.414584682929116,-1.21011123788951,-0.926545416593429,1.69841725058664,-0.845412178280522,-0.605695616242849,0.246511628,-1.35954950248279
"69","BQR",2010,2,0.0203,0.003965871,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2011,"Fall","45N",-0.660575546405558,-0.0414189218085984,0.354819591864573,-0.622885946185931,0.199427057810818,-0.0495615773994463,-0.0964072952237141,0.446511628,-0.14342944186973
"70","BQR",2011,2,0.0629,0.015765202,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2012,"Fall","45N",-0.960355661602417,-0.0464597565717371,-1.17306101531359,-0.995671149694323,0.449258756606789,-2.5659167869432,-0.751096078432063,0.330232558,-0.85047599015188
"71","BQR",2012,2,0.031,0.010023699,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,2013,"Fall","45N",-0.625515836152253,0.511516082863139,0.734143299189407,-0.371070775604104,-0.550068038577093,0.505644542709237,-0.155572908827304,0.576744186,0.648462689774037
